1400 2.94522254e-03 1.92277943e-03
2.57636780e-02 3.63103851e+01 7.11060224e-04 3.90819881e+01
2.60622218e-02 3.63103603e+01 7.24574183e-04 3.89008587e+01
2.63642251e-02 3.63103350e+01 7.38383680e-04 3.87206107e+01
2.66697279e-02 3.63103092e+01 7.52440063e-04 3.85405499e+01
2.69787708e-02 3.63102830e+01 7.66724148e-04 3.83612731e+01
2.72913948e-02 3.63102562e+01 7.81279656e-04 3.81822416e+01
2.76076415e-02 3.63102290e+01 7.96126966e-04 3.80039757e+01
2.79275527e-02 3.63102012e+01 8.11260806e-04 3.78259224e+01
2.82511710e-02 3.63101728e+01 8.26637726e-04 3.76487025e+01
2.85785394e-02 3.63101440e+01 8.42312303e-04 3.74716304e+01
2.89097012e-02 3.63101146e+01 8.58266381e-04 3.72954753e+01
2.92447004e-02 3.63100847e+01 8.74519905e-04 3.71193689e+01
2.95835815e-02 3.63100542e+01 8.91078177e-04 3.69442582e+01
2.99263895e-02 3.63100231e+01 9.07974414e-04 3.67691618e+01
3.02731699e-02 3.63099914e+01 9.25143357e-04 3.65950522e+01
3.06239687e-02 3.63099592e+01 9.42658181e-04 3.64210646e+01
3.09788325e-02 3.63099263e+01 9.60471835e-04 3.62477922e+01
3.13378084e-02 3.63098928e+01 9.78605881e-04 3.60750071e+01
3.17009440e-02 3.63098586e+01 9.97079402e-04 3.59025512e+01
3.20682875e-02 3.63098238e+01 1.01588034e-03 3.57309341e+01
3.24398877e-02 3.63097884e+01 1.03505166e-03 3.55594300e+01
3.28157940e-02 3.63097522e+01 1.05455658e-03 3.53887526e+01
3.31960561e-02 3.63097155e+01 1.07444460e-03 3.52184509e+01
3.35807247e-02 3.63096780e+01 1.09467569e-03 3.50485408e+01
3.39698507e-02 3.63096398e+01 1.11530224e-03 3.48794314e+01
3.43634858e-02 3.63096009e+01 1.13629611e-03 3.47105166e+01
3.47616823e-02 3.63095612e+01 1.15766464e-03 3.45422435e+01
3.51644930e-02 3.63095209e+01 1.17942133e-03 3.43745946e+01
3.55719714e-02 3.63094797e+01 1.20159191e-03 3.42071759e+01
3.59841715e-02 3.63094378e+01 1.22416144e-03 3.40404622e+01
3.64011481e-02 3.63093951e+01 1.24713648e-03 3.38742986e+01
3.68229566e-02 3.63093516e+01 1.27055524e-03 3.37084082e+01
3.72496529e-02 3.63093073e+01 1.29440091e-03 3.35431842e+01
3.76812936e-02 3.63092621e+01 1.31862486e-03 3.33785447e+01
